lga_desc,lga_ID
Greater Bendigo (C),1
Melbourne (C),2
Port Phillip (C),3
Maribyrnong (C),4
Hobsons Bay (C),5
Brimbank (C),6
Melton (S),7
Wyndham (C),8
Moonee Valley (C),9
Hume (C),10
Moreland (C),11
Yarra (C),12
Whittlesea (C),13
Darebin (C),14
Banyule (C),15
Nillumbik (S),16
Boroondara (C),17
Manningham (C),18
Yarra Ranges (S),19
Whitehorse (C),20
Maroondah (C),21
Stonnington (C),22
Glen Eira (C),23
Monash (C),24
Knox (C),25
Casey (C),26
Cardinia (S),27
Kingston (C),28
Greater Dandenong (C),29
Bayside (C),30
Frankston (C),31
Moorabool (S),32
Greater Geelong (C),33
Golden Plains (S),34
Surf Coast (S),35
Colac-Otway (S),36
Queenscliffe (B),37
Corangamite (S),38
Moyne (S),39
Ararat (RC),40
Southern Grampians (S),41
Warrnambool (C),42
Glenelg (S),43
West Wimmera (S),44
Campaspe (S),45
Ballarat (C),46
Pyrenees (S),47
Hepburn (S),48
Central Goldfields (S),49
Mount Alexander (S),50
Northern Grampians (S),51
Yarriambiack (S),52
Horsham (RC),53
Hindmarsh (S),54
Buloke (S),55
Mildura (RC),56
Macedon Ranges (S),57
Mitchell (S),58
Loddon (S),59
Strathbogie (S),60
Gannawarra (S),61
Swan Hill (RC),62
Greater Shepparton (C),63
Moira (S),64
Murrindindi (S),65
Benalla (RC),66
Wangaratta (RC),67
Indigo (S),68
Wodonga (RC),69
Alpine (S),70
Towong (S),71
VIC - unincorp Falls Ck,72
East Gippsland (S),73
Mansfield (S),74
Baw Baw (S),75
VIC - unincorp Mt Hotham,76
Latrobe (C),77
Wellington (S),78
VIC - unincorp Mt Baw Baw,79
South Gippsland (S),80
Mornington Peninsula (S),81
VIC - unincorp French Island,82
Bass Coast (S),83
